"Comparison","EventType","GeneSymbol","Chromosome","Strand","FDR","DeltaPSI"
"KO_vs_Neg","SE","Lcor","chr19","+",0.0114791857799609,0.319
"KO_vs_Neg","RI","Cstf2","chrX","+",5.74420870346991e-11,-0.318
"KO_vs_Neg","SE","Pvt1","chr15","+",0.0136841067856523,-0.318
"KO_vs_Neg","SE","Irak1","chrX","-",0.046107204128786,-0.318
"KO_vs_Neg","A3SS","Crem","chr18","-",0.0112936733176003,0.317
"KO_vs_Neg","SE","Bin1","chr18","+",9.67551075647787e-11,-0.317
"KO_vs_Neg","SE","Ank3","chr10","+",5.78051064570614e-13,-0.316
"KO_vs_Neg","SE","Tmem87b","chr2","+",0.000491481149081786,-0.315
"KO_vs_Neg","SE","Slc22a17","chr14","-",0.0421637102363948,-0.315
"KO_vs_Neg","A5SS","Dleu2","chr14","-",0.0351606297696668,-0.314
"KO_vs_Neg","RI","Rgs11","chr17","+",0.00132874955175312,0.314
"KO_vs_Neg","SE","Zfp78","chr7","+",0.00224538113434144,-0.314
"KO_vs_Neg","SE","Meg3","chr12","+",0.0162694446831957,-0.314
"KO_vs_Neg","SE","Upp1","chr11","+",0.00118865912912121,0.313
"KO_vs_Neg","SE","Mapkapk3","chr9","-",0.00224538113434144,0.313
"KO_vs_Neg","SE","Nrcam","chr12","+",0.00253884700699859,0.313
"KO_vs_Neg","SE","Cfap410","chr10","+",0.000122653764161376,0.312
"KO_vs_Neg","SE","Cenph","chr13","-",0.0237128351245283,0.312
"KO_vs_Neg","RI","2410002F23Rik","chr7","+",0,0.31
"KO_vs_Neg","SE","Trrap","chr5","+",0,-0.31
"KO_vs_Neg","SE","Sae1","chr7","-",0.00209114754717137,-0.31
"KO_vs_Neg","SE","Ank1","chr8","+",0.0173194738309453,-0.31
"KO_vs_Neg","SE","Snhg17","chr2","-",0.0227036519693985,0.31
"KO_vs_Neg","A3SS","Ppp2r3d","chr9","+",0.000161798261726573,0.309
"KO_vs_Neg","SE","Zmynd8","chr2","-",0,-0.309
"KO_vs_Neg","SE","Synj1","chr16","-",2.88261393244538e-08,-0.309
"KO_vs_Neg","SE","Mrpl4","chr9","+",0.00123718040194946,-0.309
"KO_vs_Neg","SE","AI480526","chr5","-",0.00485112557425794,-0.309
"KO_vs_Neg","RI","Adam33","chr2","-",0.0235183649242812,0.308
"KO_vs_Neg","SE","Tcf7l2","chr19","+",1.69496479558512e-06,-0.307
"KO_vs_Neg","SE","Tmem80","chr7","+",0.00300504017042109,-0.306
"KO_vs_Neg","SE","Dtnbp1","chr13","-",0.037710760371215,-0.306
"KO_vs_Neg","SE","Oprl1","chr2","+",0.0392144624232755,0.306
"KO_vs_Neg","SE","Col11a2","chr17","+",0.00222968206318526,-0.305
"KO_vs_Neg","SE","Gm1976","chr17","-",0.00647132557432378,-0.305
"KO_vs_Neg","MXE","Mapk8ip3","chr17","-",0,0.304
"KO_vs_Neg","MXE","Cacna1a","chr8","+",0.000209391721409305,-0.304
"KO_vs_Neg","SE","Eci1","chr17","+",0.00034026015973787,0.304
"KO_vs_Neg","SE","Fat1","chr8","+",0.0023091629542454,-0.304
"KO_vs_Neg","SE","Map2","chr1","+",0.00288488435659825,0.304
"KO_vs_Neg","A3SS","Rapgef3","chr15","-",0.000129285316807621,-0.303
"KO_vs_Neg","SE","Vps13c","chr9","+",1.46983069837771e-11,-0.303
"KO_vs_Neg","SE","Zup1","chr10","-",5.33671501157842e-05,-0.303
"KO_vs_Neg","SE","Spdye4a","chr5","-",0.00158102200979344,-0.302
"KO_vs_Neg","RI","Clic3","chr2","+",0.000148163987373096,0.301
"KO_vs_Neg","RI","Tmc4","chr7","-",0.000163547326427343,0.301
"KO_vs_Neg","A5SS","Dab2ip","chr2","+",0.000151515868795648,0.3
"KO_vs_Neg","MXE","Stx3","chr19","-",0.000159029713094327,0.3
"KO_vs_Neg","SE","Camsap2","chr1","-",3.85511743262616e-10,-0.3
"KO_vs_Neg","SE","Cstf2","chrX","+",7.90803194823739e-09,-0.3
"KO_vs_Neg","SE","Mapkap1","chr2","+",0.00663882292250914,0.3
"KO_vs_Neg","A3SS","Ipmk","chr10","+",0.00443939220421994,0.299
"KO_vs_Neg","RI","Luc7l","chr17","+",0,0.299
"KO_vs_Neg","SE","Dpp9","chr17","-",0.00552127310156461,0.299
"KO_vs_Neg","MXE","Obscn","chr11","-",0.0201145723878652,0.298
"KO_vs_Neg","SE","Snap91","chr9","-",0,-0.298
"KO_vs_Neg","SE","Sting1","chr18","-",0.000110379873206579,-0.298
"KO_vs_Neg","SE","Pou2f1","chr1","-",0.00284873402122446,0.298
"KO_vs_Neg","MXE","Zbtb20","chr16","+",0.000803551212459827,0.297
"KO_vs_Neg","SE","Synj1","chr16","-",0.0128754614657459,0.296
"KO_vs_Neg","SE","Aasdh","chr5","-",0.0173957918029654,-0.295
"KO_vs_Neg","SE","Phf14","chr6","+",0.000119665657667992,-0.294
"KO_vs_Neg","SE","Dip2a","chr10","-",0,-0.293
"KO_vs_Neg","SE","Naprt","chr15","-",0.000997850459676796,0.293
"KO_vs_Neg","SE","Zfp426","chr9","-",0.0121882289715801,-0.293
"KO_vs_Neg","A5SS","Clip1","chr5","-",0.0180692835209628,0.292
"KO_vs_Neg","MXE","Shank1","chr7","+",0.00880544132924761,-0.292
"KO_vs_Neg","SE","Sgce","chr6","-",0,-0.292
"KO_vs_Neg","SE","Ergic3","chr2","+",0,-0.292
"KO_vs_Neg","MXE","Tnnt3","chr7","+",8.26340487103764e-05,0.291
"KO_vs_Neg","SE","Fam227a","chr15","-",0.0065048454993176,0.291
"KO_vs_Neg","RI","Commd7","chr2","-",0.00258324500619707,-0.29
"KO_vs_Neg","SE","Tor1aip2","chr1","+",1.40371374654856e-13,-0.29
"KO_vs_Neg","SE","Slc25a53","chrX","-",1.33786966812448e-05,-0.29
"KO_vs_Neg","A3SS","Gm10419","chr5","+",9.737812480339e-05,0.289
"KO_vs_Neg","RI","Bet1l","chr7","-",0.0302076325792058,0.289
"KO_vs_Neg","SE","Ppfia1","chr7","-",0,-0.289
"KO_vs_Neg","SE","Tnip1","chr11","-",0,-0.289
"KO_vs_Neg","A5SS","6030443J06Rik","chr5","+",0.00333220489038895,0.288
"KO_vs_Neg","SE","Mtf2","chr5","+",0.0106706382448254,-0.288
"KO_vs_Neg","SE","Ablim3","chr18","-",0.0209266384884637,0.288
"KO_vs_Neg","SE","Hs3st6","chr17","+",0.00674641486189395,-0.287
"KO_vs_Neg","SE","Emc8","chr8","-",0.00819791389813112,0.287
"KO_vs_Neg","SE","Ppfibp2","chr7","+",0,-0.286
"KO_vs_Neg","SE","Rab3gap1","chr1","+",0,-0.286
"KO_vs_Neg","SE","Ablim3","chr18","-",0.000423935007239066,-0.286
"KO_vs_Neg","A3SS","1700001O22Rik","chr2","-",0.000694316396009993,-0.285
"KO_vs_Neg","RI","Snrpa1","chr7","+",4.21095635497826e-09,0.285
"KO_vs_Neg","A5SS","Trpm3","chr19","+",0.00205947898285151,0.284
"KO_vs_Neg","SE","Nbea","chr3","-",0,-0.284
"KO_vs_Neg","SE","Pcid2","chr8","-",0.00189631110087802,-0.284
"KO_vs_Neg","SE","Abi2","chr1","+",0,-0.283
"KO_vs_Neg","SE","Mast2","chr4","-",0,-0.282
"KO_vs_Neg","SE","Paip2","chr18","+",5.00991682668448e-08,0.282
"KO_vs_Neg","SE","Ank3","chr10","+",3.58513054050286e-05,-0.282
"KO_vs_Neg","A3SS","Macf1","chr4","-",0.000104048029577754,-0.281
"KO_vs_Neg","MXE","Platr26","chr2","+",0.0054300140363315,-0.281
"KO_vs_Neg","SE","Cstf2","chrX","+",0,-0.28
"KO_vs_Neg","SE","Mbnl2","chr14","+",0,-0.28
"KO_vs_Neg","SE","Zfp78","chr7","+",0.00357143322674109,-0.28
"KO_vs_Neg","A5SS","Inca1","chr11","-",1.81984334894266e-05,0.279
"KO_vs_Neg","SE","Gpcpd1","chr2","-",0,0.279
"KO_vs_Neg","SE","Pcgf6","chr19","-",7.61624122451094e-10,-0.279
"KO_vs_Neg","SE","Zfp239","chr6","+",0.00358638613630234,0.279
"KO_vs_Neg","SE","Dhfr","chr13","+",0.0104645116298958,-0.279
"KO_vs_Neg","SE","Arhgap23","chr11","+",0,-0.278
"KO_vs_Neg","SE","Exoc1","chr5","+",2.85784889087982e-10,-0.278
"KO_vs_Neg","SE","Rdh13","chr7","-",0.0011778233606757,0.278
"KO_vs_Neg","SE","Dlg3","chrX","+",0.0257811595363887,-0.278
"KO_vs_Neg","RI","Tmem52","chr4","+",0.00660454888463367,-0.277
"KO_vs_Neg","SE","Ptk2","chr15","-",5.46588834715047e-06,0.277
"KO_vs_Neg","SE","Arhgap17","chr7","-",2.16891139148455e-05,0.277
"KO_vs_Neg","SE","Tpd52l1","chr10","-",0.00199209284843295,0.277
"KO_vs_Neg","SE","Actr2","chr11","-",0.0349479702564729,-0.277
"KO_vs_Neg","SE","Clasp2","chr9","+",1.10948209132054e-10,0.276
"KO_vs_Neg","SE","Paxip1","chr5","-",5.58235085522545e-07,-0.276
"KO_vs_Neg","SE","Hivep2","chr10","+",0.00370101724274815,0.276
"KO_vs_Neg","SE","Adam33","chr2","-",0.00789447806688823,-0.276
"KO_vs_Neg","SE","Rabep1","chr11","+",0.000392035717296393,0.275
"KO_vs_Neg","SE","Aak1","chr6","+",7.6903684394055e-06,-0.274
"KO_vs_Neg","A3SS","Gas5","chr1","+",4.57584503613323e-05,0.273
"KO_vs_Neg","A3SS","B230216N24Rik","chr1","-",0.0351562900558838,-0.273
"KO_vs_Neg","A3SS","Pcnx3","chr19","-",0.0358283690526293,-0.273
"KO_vs_Neg","RI","Psmd13","chr7","+",4.40656671518517e-05,0.273
"KO_vs_Neg","SE","Gm26947","chr10","+",9.97095203904425e-05,0.272
"KO_vs_Neg","SE","Rpl13a","chr7","-",0.00680742345937908,0.272
"KO_vs_Neg","A5SS","0610038B21Rik","chr8","+",6.24047656817349e-05,0.271
"KO_vs_Neg","RI","Prnd","chr2","+",0.00167240604939105,-0.271
"KO_vs_Neg","SE","Sorbs1","chr19","-",2.29896562067309e-06,0.271
"KO_vs_Neg","SE","Nlrp4f","chr13","-",2.68544038209597e-05,-0.271
"KO_vs_Neg","SE","Gm3739","chr14","+",3.25337632601105e-05,-0.271
"KO_vs_Neg","SE","St6galnac6","chr2","+",0.0297119179549733,0.271
"KO_vs_Neg","SE","Gsdmd","chr15","+",1.54111911516878e-10,0.27
"KO_vs_Neg","A3SS","Meg3","chr12","+",0.00481046920295098,0.269
"KO_vs_Neg","SE","Scrib","chr15","-",0,-0.269
"KO_vs_Neg","SE","Carnmt1","chr19","+",0.000203826356780399,0.269
"KO_vs_Neg","SE","Kcnma1","chr14","-",0.00173894214176825,-0.269
"KO_vs_Neg","SE","Adnp","chr2","-",0.0253773402612745,-0.269
"KO_vs_Neg","SE","Sgce","chr6","-",8.83249935178886e-11,-0.268
"KO_vs_Neg","SE","Vcan","chr13","-",0.00309199392221534,0.268
"KO_vs_Neg","SE","Chadl","chr15","-",0.0105684842985388,0.268
"KO_vs_Neg","A3SS","Morrbid","chr2","-",0.00260498058321798,-0.267
"KO_vs_Neg","A5SS","Syt6","chr3","+",0.00724141469259831,-0.267
"KO_vs_Neg","RI","Zfp384","chr6","+",0.000551967005775136,-0.267
"KO_vs_Neg","SE","Trappc6b","chr12","-",0.00282112653197143,0.267
"KO_vs_Neg","SE","Zfp558","chr9","-",0.00529197130812271,-0.267
"KO_vs_Neg","MXE","Snap91","chr9","-",0.00100973048739768,-0.266
"KO_vs_Neg","RI","Smarcd3","chr5","-",4.2831621749722e-05,-0.266
"KO_vs_Neg","SE","Dlg1","chr16","+",0,-0.266
"KO_vs_Neg","MXE","Adcyap1r1","chr6","+",0.000115701856534723,-0.265
"KO_vs_Neg","SE","Ank3","chr10","+",7.77343133396744e-07,-0.265
"KO_vs_Neg","SE","Prss36","chr7","-",0.000473609019674686,-0.265
"KO_vs_Neg","SE","Cpsf6","chr10","-",0.000854064097895973,0.265
"KO_vs_Neg","MXE","Fat1","chr8","+",0.046858669559925,0.264
"KO_vs_Neg","SE","Ssr1","chr13","-",0,-0.264
"KO_vs_Neg","SE","Maea","chr5","+",0.000709558283592265,0.264
"KO_vs_Neg","SE","Mlh1","chr9","-",0.00381722284412566,0.264
"KO_vs_Neg","A3SS","Dync1i2","chr2","+",0.000763730714775833,0.263
"KO_vs_Neg","A3SS","Gm17586","chr11","+",0.0239849593142998,0.263
"KO_vs_Neg","RI","Bcas2","chr3","+",2.9601182031866e-10,0.263
"KO_vs_Neg","SE","Rapgef6","chr11","+",7.48750719125912e-07,-0.263
"KO_vs_Neg","SE","Nadsyn1","chr7","-",0.000116394599136316,-0.263
"KO_vs_Neg","SE","Iqsec2","chrX","+",0.000159704540862637,0.263
"KO_vs_Neg","SE","Atpaf2","chr11","-",0.000805125166439973,-0.263
"KO_vs_Neg","A3SS","Dmtf1","chr5","-",0.0494744903573508,-0.262
"KO_vs_Neg","SE","Dync1i2","chr2","+",0,-0.262
"KO_vs_Neg","SE","Madd","chr2","-",0,-0.262
"KO_vs_Neg","SE","Peg3","chr7","-",0,-0.262
"KO_vs_Neg","SE","Ddhd1","chr14","-",1.85627400218482e-06,-0.262
"KO_vs_Neg","MXE","Ip6k2","chr9","+",2.94290138863129e-09,-0.261
"KO_vs_Neg","SE","Tm9sf4","chr2","+",0.0108067976802139,0.261
"KO_vs_Neg","RI","Sema4a","chr3","-",0.02285293918341,0.26
"KO_vs_Neg","SE","Mfsd4a","chr1","-",0.0216852162995577,-0.26
"KO_vs_Neg","RI","Surf1","chr2","-",4.40137151230525e-06,0.259
"KO_vs_Neg","SE","Pacsin2","chr15","-",0,-0.259
"KO_vs_Neg","SE","Tspan32","chr7","+",0.0405490675236267,-0.259
"KO_vs_Neg","A5SS","Rpe","chr1","+",0.000179290366972957,0.258
"KO_vs_Neg","SE","Arvcf","chr16","+",0,-0.258
"KO_vs_Neg","SE","Clasp1","chr1","+",1.63632916740273e-12,-0.258
"KO_vs_Neg","SE","Snap91","chr9","-",1.3584525374501e-11,-0.258
"KO_vs_Neg","SE","Vill","chr9","+",0.000168574694222612,-0.258
"KO_vs_Neg","MXE","Cab39l","chr14","+",0.000154754003858721,-0.257
"KO_vs_Neg","SE","Eaf2","chr16","-",0.000504708969649273,0.257
"KO_vs_Neg","SE","Nwd1","chr8","+",0.0187207903898315,0.257
"KO_vs_Neg","SE","Crebrf","chr17","+",0.0235552349501428,0.257
"KO_vs_Neg","SE","1700028K03Rik","chr5","+",0.0320882237974556,0.257
"KO_vs_Neg","A5SS","4930549G23Rik","chr18","-",0.00114047080903245,0.256
"KO_vs_Neg","SE","Taf15","chr11","+",4.9530371039263e-07,0.256
"KO_vs_Neg","SE","Tcf7l2","chr19","+",9.49584169245262e-05,-0.256
"KO_vs_Neg","SE","Gm32856","chr8","+",0.0157133812322973,0.256
"KO_vs_Neg","SE","Rps6kc1","chr1","-",0.0446077624106265,0.256
"KO_vs_Neg","SE","Mapk8ip3","chr17","-",0,-0.255
"KO_vs_Neg","SE","Zdhhc20","chr14","-",0,-0.255
"KO_vs_Neg","SE","Dctn1","chr6","+",0,-0.255
"KO_vs_Neg","SE","Ewsr1","chr11","-",0,-0.255
"KO_vs_Neg","SE","Mafg","chr11","-",2.25587822609544e-08,-0.255
"KO_vs_Neg","SE","Tor1aip2","chr1","+",8.43643016324948e-05,-0.255
"KO_vs_Neg","SE","Mnat1","chr12","+",0.00181475869368884,0.255
"KO_vs_Neg","SE","Tulp4","chr17","+",0.0215144589825316,-0.255
"KO_vs_Neg","SE","Evi5","chr5","-",0.00065875741349183,-0.254
"KO_vs_Neg","SE","Tcf7l2","chr19","+",0.00207974594756829,-0.254
"KO_vs_Neg","SE","Cnot4","chr6","-",0.0135919825827854,0.254
"KO_vs_Neg","A3SS","Gm5624","chr14","-",0.00343430613359604,-0.253
"KO_vs_Neg","A5SS","Slf2","chr19","+",4.25628906193827e-06,-0.253
"KO_vs_Neg","SE","Stim1","chr7","+",0,-0.253
"KO_vs_Neg","SE","Tex30","chr1","-",2.67452075506746e-06,-0.253
"KO_vs_Neg","SE","Tcf7l2","chr19","+",7.38671313274315e-05,-0.253
"KO_vs_Neg","A5SS","Aste1","chr9","+",1.81984334894266e-05,0.252
"KO_vs_Neg","RI","Cope","chr8","+",1.08756698657664e-07,0.252
"KO_vs_Neg","SE","2410002F23Rik","chr7","+",0,-0.252
"KO_vs_Neg","SE","Aak1","chr6","+",0.0486570243046259,-0.252
"KO_vs_Neg","SE","Tnik","chr3","+",0,-0.251
"KO_vs_Neg","SE","Tmem39a","chr16","+",8.400797064799e-12,-0.251
"KO_vs_Neg","A3SS","Crnde","chr8","-",0.0252512773207487,0.25
"KO_vs_Neg","MXE","Morc2a","chr11","+",0,-0.25
"KO_vs_Neg","SE","Fancc","chr13","-",9.58076094212763e-06,0.25
"KO_vs_Neg","SE","1700086O06Rik","chr18","-",0.0189744900917835,-0.25
"KO_vs_Neg","SE","Eef1d","chr15","-",0,-0.248
"KO_vs_Neg","SE","Cstf2","chrX","+",0,-0.247
"KO_vs_Neg","SE","Tenm3","chr8","-",0,-0.247
"KO_vs_Neg","SE","Ppp4r1l-ps","chr2","-",0.0335838412136193,-0.247
"KO_vs_Neg","A3SS","H2-K2","chr17","-",0.0183530684424681,0.246
"KO_vs_Neg","MXE","Morc2a","chr11","+",5.48852979526048e-11,-0.246
"KO_vs_Neg","RI","Adam33","chr2","-",0.021999671977086,0.246
"KO_vs_Neg","SE","Ip6k2","chr9","+",7.67656156388713e-06,0.246
"KO_vs_Neg","SE","Pecam1","chr11","-",0.00153731264192957,-0.246
"KO_vs_Neg","SE","C530043A13Rik","chr1","-",0.00197004811675459,-0.246
"KO_vs_Neg","SE","D330050G23Rik","chr2","+",0.0048849076355602,0.246
"KO_vs_Neg","SE","Ccdc191","chr16","+",0.0462133833498621,-0.246
"KO_vs_Neg","SE","Pitpnm2","chr5","-",0.00123135145841616,-0.245
"KO_vs_Neg","SE","Thoc2l","chr5","+",0.00171845752914342,-0.245
"KO_vs_Neg","SE","Tmem147","chr7","-",0.00171845752914342,-0.245
"KO_vs_Neg","SE","Surf1","chr2","-",0.00352571796176215,0.245
"KO_vs_Neg","SE","Hdnr","chr8","+",0.0236944948707949,0.245
"KO_vs_Neg","SE","Hmbs","chr9","-",0.0283072303349987,0.245
"KO_vs_Neg","SE","R3hdm2","chr10","+",1.0332366936271e-05,-0.244
"KO_vs_Neg","SE","Ptcd3","chr6","-",4.89190205707174e-05,0.244
"KO_vs_Neg","SE","Adam33","chr2","-",0.00908058398359683,-0.244
"KO_vs_Neg","MXE","Eya3","chr4","+",1.14563497577359e-11,-0.243
"KO_vs_Neg","MXE","Scml4","chr10","+",1.50027008594115e-09,0.243
"KO_vs_Neg","SE","Cnot2","chr10","-",1.83931129519148e-06,0.243
"KO_vs_Neg","SE","G2e3","chr12","+",0.000247959629623962,-0.243
"KO_vs_Neg","SE","Vwa7","chr17","+",0.00417782583937225,-0.243
"KO_vs_Neg","SE","Jpx","chrX","+",0.000147497019819849,0.242
"KO_vs_Neg","SE","Gm10785","chr16","+",0.00128945004416153,0.242
"KO_vs_Neg","SE","Ankrd24","chr10","+",0.00175485736723799,0.242
"KO_vs_Neg","SE","Clta","chr4","+",0,-0.241
"KO_vs_Neg","SE","Myo9a","chr9","+",5.62346016070828e-08,-0.241
"KO_vs_Neg","RI","Mapk7","chr11","-",0.000195321763581263,0.24
"KO_vs_Neg","SE","Tmem147","chr7","-",0.00907402114612135,-0.24
"KO_vs_Neg","MXE","2610307P16Rik","chr13","-",4.59856432626413e-10,-0.239
"KO_vs_Neg","SE","Myo18a","chr11","+",6.97347533778221e-12,-0.239
"KO_vs_Neg","SE","Tlcd3b","chr7","+",0.000329074939374433,0.239
"KO_vs_Neg","SE","Zfp870","chr17","-",0.00332777360923471,-0.239
"KO_vs_Neg","SE","D3Ertd751e","chr3","+",0.0249939586868813,-0.239
"KO_vs_Neg","SE","Psap","chr10","+",0,-0.238
"KO_vs_Neg","SE","Wdr20","chr12","+",7.03362583514468e-08,-0.238
"KO_vs_Neg","SE","Trmt1","chr8","+",0.00265354005928516,-0.238
"KO_vs_Neg","SE","Tcf12","chr9","-",0.0457160182763582,0.238
"KO_vs_Neg","A3SS","Kcp","chr6","-",0.0150463066548197,0.237
"KO_vs_Neg","SE","Ntng2","chr2","-",3.70682497907577e-08,-0.237
"KO_vs_Neg","SE","Ksr1","chr11","-",0.00580178896970371,-0.237
"KO_vs_Neg","SE","Cbx6","chr15","-",0.00594334939400748,-0.237
"KO_vs_Neg","SE","Ankrd29","chr18","-",0.018595430265896,0.237
"KO_vs_Neg","A5SS","Tpp1","chr7","-",0.000259240382736373,0.235
"KO_vs_Neg","RI","Ager","chr17","+",0.00872031332525362,-0.235
"KO_vs_Neg","SE","Rpl11","chr4","-",5.17043709598817e-06,-0.235
"KO_vs_Neg","RI","2700038G22Rik","chr5","+",0.000328810939308147,0.234
"KO_vs_Neg","SE","Myl6","chr10","-",2.0511569970612e-12,-0.234
"KO_vs_Neg","SE","Iffo1","chr6","+",8.5328781078108e-12,0.234
"KO_vs_Neg","SE","Srpk2","chr5","-",0.00533789501594605,0.234
"KO_vs_Neg","MXE","Slc22a21","chr11","-",0.0291601616194213,-0.233
"KO_vs_Neg","SE","2410002F23Rik","chr7","+",0,-0.233
"KO_vs_Neg","SE","Hdac5","chr11","-",1.77089673033744e-05,-0.233
"KO_vs_Neg","SE","Aak1","chr6","+",0.00394987846876026,-0.233
"KO_vs_Neg","SE","Syt14","chr1","-",0,-0.232
"KO_vs_Neg","SE","Actn2","chr13","-",9.95442094531325e-05,-0.232
"KO_vs_Neg","SE","Tom1","chr8","+",0.000897453007922903,-0.232
"KO_vs_Neg","A3SS","Cfap68","chr9","-",0.00579769615677994,0.231
"KO_vs_Neg","SE","Tstd2","chr4","-",0.000979183630409474,-0.231
"KO_vs_Neg","SE","Tbp","chr17","+",0.0134605019273338,0.231
"KO_vs_Neg","SE","Plekha6","chr1","+",0,-0.23
"KO_vs_Neg","SE","Ubr4","chr4","+",0,-0.23
"KO_vs_Neg","SE","Ppp6r3","chr19","-",0,-0.23
"KO_vs_Neg","SE","Ip6k2","chr9","+",7.96998864356208e-07,0.23
"KO_vs_Neg","SE","Pvt1","chr15","+",0.000161105672127144,0.23
"KO_vs_Neg","SE","Itgav","chr2","+",0.0121209018811626,-0.23
"KO_vs_Neg","SE","F630040K05Rik","chr17","+",0.0369184947067719,0.23
"KO_vs_Neg","SE","Sh2d5","chr4","+",6.8931607979589e-06,-0.229
"KO_vs_Neg","SE","Pvt1","chr15","+",0.0002080879394801,0.229
"KO_vs_Neg","SE","Cftr","chr6","+",0.000995244487004865,0.229
"KO_vs_Neg","SE","Trmt1","chr8","+",0.00384904647435272,-0.229
"KO_vs_Neg","SE","Zdhhc3","chr9","-",0.00743756993791806,-0.229
"KO_vs_Neg","SE","Sgce","chr6","-",0.0151376192464331,0.229
"KO_vs_Neg","SE","Zfp644","chr5","-",0.0377260582545205,0.229
"KO_vs_Neg","SE","Mon2","chr10","-",0,-0.228
"KO_vs_Neg","SE","Atp2c1","chr9","-",5.45443055800909e-12,-0.228
"KO_vs_Neg","SE","2410002F23Rik","chr7","+",0,-0.227
"KO_vs_Neg","SE","Myl6","chr10","-",2.85784889087982e-10,-0.227
"KO_vs_Neg","SE","Zfp788","chr7","+",2.02227148114186e-05,0.227
"KO_vs_Neg","SE","Sorbs1","chr19","-",5.51438235355504e-05,-0.227
"KO_vs_Neg","SE","Oxr1","chr15","+",0.0167248297796972,-0.227
"KO_vs_Neg","A3SS","Dop1a","chr9","+",0.000121216409250775,0.226
"KO_vs_Neg","A5SS","E130307A14Rik","chr10","-",8.96315031774129e-05,0.226
"KO_vs_Neg","SE","Mtss1","chr15","-",0,-0.226
"KO_vs_Neg","SE","Fam168a","chr7","+",2.28717167978114e-07,0.226
"KO_vs_Neg","SE","C7","chr15","-",0.000271857313783603,0.226
"KO_vs_Neg","SE","Eed","chr7","-",0.00173149962238975,-0.226
"KO_vs_Neg","A5SS","Foxred1","chr9","-",0.0436946576726245,0.225
"KO_vs_Neg","SE","Asph","chr4","-",0,-0.225
"KO_vs_Neg","SE","Kantr","chrX","-",9.71482019983925e-05,0.225
"KO_vs_Neg","SE","Cab39l","chr14","+",0.00604454537321202,0.225
"KO_vs_Neg","SE","Kcnq5","chr1","-",0.0352042772059307,-0.225
"KO_vs_Neg","A3SS","1700037H04Rik","chr2","-",0.0322487015225707,0.224
"KO_vs_Neg","SE","Eif4g1","chr16","+",0,-0.224
"KO_vs_Neg","SE","Acbd5","chr2","+",0,-0.224
"KO_vs_Neg","SE","2700054A10Rik","chr17","-",0.00104101886314349,-0.224
"KO_vs_Neg","SE","Gm5624","chr14","-",0.0497350946357536,-0.224
"KO_vs_Neg","SE","Agap1","chr1","+",0,-0.223
"KO_vs_Neg","SE","6430548M08Rik","chr8","+",3.78927906386595e-07,-0.223
"KO_vs_Neg","SE","Myo18a","chr11","+",5.42310089805744e-07,-0.223
"KO_vs_Neg","SE","Kbtbd3","chr9","+",1.60550812379365e-06,0.223
"KO_vs_Neg","SE","Ica1","chr6","-",0.000283621149141596,0.223
"KO_vs_Neg","SE","Cspp1","chr1","+",0.00184376501323269,0.223
"KO_vs_Neg","SE","Paip2","chr18","+",0.0204628959433016,0.223
"KO_vs_Neg","RI","Mapk11","chr15","-",0,0.222
"KO_vs_Neg","RI","Scrib","chr15","-",2.77116551927528e-12,0.222
"KO_vs_Neg","MXE","Ppp4r1l-ps","chr2","-",8.40962820591317e-05,0.221
"KO_vs_Neg","RI","Gas5","chr1","+",2.61847870052207e-07,0.221
"KO_vs_Neg","SE","Sorbs1","chr19","-",0.000132247887448488,-0.221
"KO_vs_Neg","SE","U2af1","chr17","-",0.000273055452978335,-0.221
"KO_vs_Neg","SE","Erlin2","chr8","+",0.0020442450320854,-0.221
"KO_vs_Neg","SE","1700028K03Rik","chr5","+",0.00656163919249714,0.221
"KO_vs_Neg","SE","Necap2","chr4","-",0.00846632458832028,-0.221
"KO_vs_Neg","SE","5330416C01Rik","chr13","-",0.00875379548008019,-0.221
"KO_vs_Neg","SE","Cdiptos","chr7","-",0.0158065823953166,0.221
"KO_vs_Neg","RI","Nrbp2","chr15","-",0.000153968842877074,0.22
"KO_vs_Neg","RI","Slc17a9","chr2","+",0.0340898803563551,0.22
"KO_vs_Neg","SE","Gpr179","chr11","-",0.00175349598735875,0.22
"KO_vs_Neg","SE","Eya3","chr4","+",0,-0.219
"KO_vs_Neg","SE","Gemin7","chr7","-",0.00174214299782323,0.219
"KO_vs_Neg","SE","Csad","chr15","-",0.00816997314782843,-0.219
"KO_vs_Neg","RI","Izumo4","chr10","+",4.82911098959165e-08,0.218
"KO_vs_Neg","SE","Src","chr2","+",3.17014036092595e-07,-0.218
"KO_vs_Neg","SE","Txnrd1","chr10","+",0.0178932996250938,0.218
"KO_vs_Neg","SE","Adgrl2","chr3","-",4.15260032063717e-05,-0.217
"KO_vs_Neg","A5SS","Gas5","chr1","+",3.89428767601564e-06,0.216
"KO_vs_Neg","A5SS","Rnf13","chr3","+",0.000786345079448738,0.216
"KO_vs_Neg","MXE","Ube2w","chr1","-",0.015329576385666,-0.216
"KO_vs_Neg","RI","Gm14167","chr2","-",0.00965885278121028,0.216
"KO_vs_Neg","SE","Tmem184b","chr15","-",0,-0.216
"KO_vs_Neg","SE","Gapvd1","chr2","-",4.67053846577322e-12,-0.216
"KO_vs_Neg","SE","Dlst","chr12","+",0.0231123414981157,0.216
